merchant,category
Amazon,Shopping
Apple Store,Technology
McDonald's,Food
Starbucks,Food
Netflix,Entertainment
Amazon,Shopping
Starbucks,Food
McDonald's,Food
Uber,Transportation
Starbucks,Food
Shell,Transportation
Amazon,Shopping
Netflix,Entertainment
McDonald's,Food
Starbucks,Food
Shell,Transportation
Amazon,Shopping
Starbucks,Food
McDonald's,Food
Apple Store,Technology
Uber,Transportation
Amazon,Shopping
Apple Store,Technology
Uber,Transportation
Apple Store,Technology
Apple Store,Technology
Shell,Transportation
Uber,Transportation
Starbucks,Food
Shell,Transportation
Amazon,Shopping
McDonald's,Food
Starbucks,Food
McDonald's,Food
Amazon,Shopping
Amazon,Shopping
Netflix,Entertainment
Starbucks,Food
Starbucks,Food
Amazon,Shopping
Amazon,Shopping
Apple Store,Technology
McDonald's,Food
Shell,Transportation
Uber,Transportation
Apple Store,Technology
Starbucks,Food
Shell,Transportation
Uber,Transportation
Apple Store,Technology
Amazon,Shopping
Netflix,Entertainment
Amazon,Shopping
McDonald's,Food
Starbucks,Food
Amazon,Shopping
Uber,Transportation
Netflix,Entertainment
Shell,Transportation
McDonald's,Food
Amazon,Shopping
Apple Store,Technology
Amazon,Shopping
Shell,Transportation
Shell,Transportation
Amazon,Shopping
Shell,Transportation
Netflix,Entertainment
Shell,Transportation
Netflix,Entertainment
Starbucks,Food
Starbucks,Food
Amazon,Shopping
Netflix,Entertainment
Netflix,Entertainment
McDonald's,Food
McDonald's,Food
McDonald's,Food
Uber,Transportation
Amazon,Shopping
Apple Store,Technology
Netflix,Entertainment
McDonald's,Food
Amazon,Shopping
McDonald's,Food
Netflix,Entertainment
Starbucks,Food
Shell,Transportation
Shell,Transportation
Netflix,Entertainment
Apple Store,Technology
Amazon,Shopping
Shell,Transportation
McDonald's,Food
Shell,Transportation
Amazon,Shopping
Uber,Transportation
Uber,Transportation
Uber,Transportation
Starbucks,Food
Name / Description,Category
Spencer's Headphones Purchase,Technology
Big Bazaar Phone Charger Purchase,Technology
Levis Furniture Purchase,Clothing
Carrefour Books Purchase,Education
Zomato Meal,Food
Spencer's Laptop Purchase,Technology
Nike Furniture Purchase,Clothing
Shopping at Nike,Clothing
Zara Clothing Purchase,Clothing
Swiggy Meal,Food
Uniqlo Phone Charger Purchase,Technology
D-Mart Phone Charger Purchase,Technology
Train Ticket,Transportation
Dominos Meal,Food
Nike Phone Charger Purchase,Clothing
Train Ticket,Transportation
Metro Ticket,Transportation
Spencer's Books Purchase,Education
D-Mart Laptop Purchase,Technology
Uniqlo Groceries Purchase,Food
Electricity Bill Payment,Utilities
Fuel Purchase,Transportation
Zomato Meal,Food
Nike Laptop Purchase,Clothing
Fuel Purchase,Transportation
H&M Phone Charger Purchase,Clothing
Levis Books Purchase,Clothing
Nike Headphones Purchase,Clothing
Big Bazaar Books Purchase,Education
Zara Furniture Purchase,Clothing
Nike Phone Charger Purchase,Clothing
Reliance Fresh Headphones Purchase,Technology
Shopping at Zara,Clothing
Medical Bill at Fortis,Utilities
Big Bazaar Laptop Purchase,Technology
Shopping at Levis,Clothing
Shopping at H&M,Clothing
Flight Ticket to New York,Transportation
Medical Bill at Aster,Utilities
Swiggy Meal,Food
Rent Payment,Housing
Saravana Bhavan Meal,Food
Carrefour Books Purchase,Education
Spencer's Books Purchase,Education
Reliance Fresh Groceries Purchase,Food
Nike Laptop Purchase,Clothing
Dominos Meal,Food
Bus Ticket,Transportation
Dominos Meal,Food
Water Bill Payment,Utilities
Shopping at H&M,Clothing
Nike Books Purchase,Clothing
Rent Payment,Housing
Medical Bill at Fortis,Utilities
Zara Clothing Purchase,Clothing
Internet Bill Payment,Utilities
H&M Furniture Purchase,Clothing
Carrefour Laptop Purchase,Technology
H&M Books Purchase,Clothing
D-Mart Books Purchase,Education
Nike Groceries Purchase,Food
